"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-May-2025","EQ","276.51","280.95","276.51","278.37","279.70","279.89","279.94","293.99","231.30","80,40,183","2,25,07,96,648.16","55,023"
"23-May-2025","EQ","282.00","284.19","274.98","275.91","278.40","278.37","277.94","293.99","231.30","54,80,146","1,52,31,31,505.94","33,318"
"22-May-2025","EQ","277.90","277.90","274.37","277.55","276.22","275.91","275.41","293.99","231.30","91,01,780","2,50,67,17,946.19","66,056"
"21-May-2025","EQ","276.89","279.14","276.40","276.89","277.50","277.55","277.73","293.99","231.30","45,84,056","1,27,31,43,065.57","36,668"
"20-May-2025","EQ","280.89","280.89","276.62","279.21","277.01","276.89","278.10","293.99","231.30","56,83,232","1,58,04,93,972.81","58,217"
"19-May-2025","EQ","280.05","281.34","279.00","280.21","279.78","279.21","279.93","293.99","231.30","42,89,298","1,20,06,95,001.37","52,998"
"16-May-2025","EQ","280.99","280.99","278.38","280.17","280.20","280.21","280.10","293.99","231.30","44,85,107","1,25,62,61,404.06","44,531"
"15-May-2025","EQ","276.90","280.76","274.70","276.57","279.34","280.17","278.08","293.99","231.30","1,13,53,337","3,15,71,80,328.75","60,299"
"14-May-2025","EQ","276.90","277.27","274.70","275.65","276.80","276.57","276.27","293.99","231.30","54,42,213","1,50,35,21,965.69","39,669"
"13-May-2025","EQ","278.75","281.25","275.30","278.94","275.81","275.65","276.47","293.99","231.30","95,87,074","2,65,05,66,158.13","58,422"
"12-May-2025","EQ","272.49","279.49","270.89","268.49","279.10","278.94","276.89","293.99","231.30","96,55,176","2,67,34,27,580.39","71,749"
"09-May-2025","EQ","269.50","270.09","266.16","271.04","268.75","268.49","268.73","293.99","231.30","77,25,810","2,07,61,78,629.03","77,366"
"08-May-2025","EQ","273.70","273.70","270.00","272.79","270.27","271.04","271.88","293.99","231.30","63,01,204","1,71,31,67,716.97","34,604"
"07-May-2025","EQ","271.90","273.59","269.39","272.60","272.90","272.79","272.57","293.99","231.30","70,15,340","1,91,21,66,955.70","45,383"
"06-May-2025","EQ","274.90","274.90","272.17","274.39","272.20","272.60","273.11","293.99","231.30","44,17,654","1,20,64,93,550.00","61,448"
"05-May-2025","EQ","272.05","274.55","271.31","272.05","274.20","274.39","274.04","293.99","231.30","1,32,20,110","3,62,28,80,805.44","67,975"
"02-May-2025","EQ","274.00","275.12","270.88","271.99","272.10","272.05","272.86","293.99","231.30","1,09,48,874","2,98,75,01,610.62","75,106"
"30-Apr-2025","EQ","277.09","277.09","271.03","271.91","271.33","271.99","271.97","293.99","231.30","61,33,729","1,66,82,18,843.79","43,118"
"29-Apr-2025","EQ","273.89","273.89","270.90","271.90","271.78","271.91","272.18","293.99","231.30","1,21,94,908","3,31,92,06,108.94","28,956"
"28-Apr-2025","EQ","269.89","272.30","268.00","268.63","271.91","271.90","271.11","293.99","231.30","76,76,436","2,08,11,92,511.57","52,628"
"25-Apr-2025","EQ","271.85","272.30","266.71","270.95","268.19","268.63","268.94","293.99","231.30","86,30,692","2,32,11,71,485.58","60,009"
"24-Apr-2025","EQ","271.78","272.09","270.68","271.82","270.90","270.95","271.23","293.99","231.30","50,49,194","1,36,94,82,157.50","38,797"
"23-Apr-2025","EQ","272.89","272.89","269.50","270.05","271.80","271.82","271.30","293.99","231.30","95,02,368","2,57,80,13,064.32","40,588"
"22-Apr-2025","EQ","270.11","270.95","269.00","269.70","270.00","270.05","270.24","293.99","231.30","61,82,402","1,67,07,07,984.00","38,422"
"21-Apr-2025","EQ","265.30","270.48","265.01","266.54","269.70","269.70","269.38","293.99","231.30","1,00,57,258","2,70,92,71,579.76","84,985"
"17-Apr-2025","EQ","262.94","266.79","260.60","261.91","266.36","266.54","264.66","293.99","231.30","98,18,354","2,59,85,08,468.19","45,468"
"16-Apr-2025","EQ","263.99","263.99","260.03","260.87","262.10","261.91","261.04","293.99","231.30","83,12,168","2,16,98,38,521.22","38,763"
"15-Apr-2025","EQ","260.00","262.88","258.30","255.97","261.35","260.87","260.80","293.99","231.30","64,45,385","1,68,09,71,467.03","65,516"
"11-Apr-2025","EQ","255.99","256.90","251.23","251.03","256.28","255.97","255.82","293.99","231.30","1,08,02,170","2,76,33,62,006.48","62,826"
"09-Apr-2025","EQ","251.72","252.68","250.62","252.72","251.45","251.03","251.16","293.99","231.30","71,44,236","1,79,43,61,533.84","53,690"
"08-Apr-2025","EQ","256.55","256.55","249.76","249.10","253.00","252.72","252.24","293.99","231.30","98,60,513","2,48,71,79,246.41","73,920"
"07-Apr-2025","EQ","264.85","264.85","231.30","257.16","249.80","249.10","247.52","293.99","231.30","3,46,54,934","8,57,76,46,698.80","3,20,667"
"04-Apr-2025","EQ","260.48","260.58","256.48","260.46","258.00","257.16","257.45","293.99","241.31","92,33,464","2,37,71,91,505.53","81,570"
"03-Apr-2025","EQ","260.90","261.10","259.03","261.64","261.02","260.46","260.55","293.99","241.31","61,86,200","1,61,18,16,126.71","45,317"
"02-Apr-2025","EQ","260.70","261.85","259.11","259.60","261.60","261.64","261.01","293.99","241.31","95,09,451","2,48,20,38,028.41","47,021"
"01-Apr-2025","EQ","262.38","263.67","259.38","263.21","259.68","259.60","260.65","293.99","241.31","1,26,29,562","3,29,18,69,473.92","91,053"
